hand,synonyms,YOUR NAME,1,2,3,4,5,6,7,TARGET ADJECTIVE,ANSWERS
"['Ladybugs', 'Fidel_Castro', 'Cary_Grant', 'Abraham_Lincoln', 'Summer_Camp', 'Italy', 'Waxing_The_Floor']","['tidy', 'orderly', 'cool']",,Ladybugs,Fidel_Castro,Cary_Grant,Abraham_Lincoln,Summer_Camp,Italy,Waxing_The_Floor,Neat,
"['Corn_On_The_Cob', 'My_16th_Birthday', 'The_Rolling_Stones', 'Apples', 'Morticians', 'Cloned_Sheep', 'Chicago']","['great', 'excellent']",,Corn_On_The_Cob,My_16th_Birthday,The_Rolling_Stones,Apples,Morticians,Cloned_Sheep,Chicago,Wonderful,
"['Armadillo', 'Pilots', 'Dictionaries', 'Shopping_Mall', 'Jupiter', 'Golf-Ball-Sized_Hail', 'The_Super_Bowl']","['smooth', 'level']",,Armadillo,Pilots,Dictionaries,Shopping_Mall,Jupiter,Golf-Ball-Sized_Hail,The_Super_Bowl,Flat,
"['Under_My_Bed', 'Drinking_and_Driving', 'Swimming', 'Ramona', 'Barbie_and_Ken', 'Ships', 'Cauliflower']","['bumpy', 'clumpy']",,Under_My_Bed,Drinking_and_Driving,Swimming,Ramona,Barbie_and_Ken,Ships,Cauliflower,Lumpy,
"['My_Refrigerator', 'Cops_and_Robbers', 'Knitting_Needles', 'The_Mall', 'Recycling', 'Bears', 'Summer']","['aged', 'elderly', 'antiquated']",,My_Refrigerator,Cops_and_Robbers,Knitting_Needles,The_Mall,Recycling,Bears,Summer,Old,
"['Road_Trips', 'Aladdin', 'Rappers', 'VW_Beetles', 'Octopus', 'Body_and_Soul', 'Flying_A_Kite']","['messy', 'careless']",,Road_Trips,Aladdin,Rappers,VW_Beetles,Octopus,Body_and_Soul,Flying_A_Kite,Sloppy,
"['Frozen_Peas', 'Billboards', 'Demi_Moore', 'GI_Joe', 'Hugs', 'Pine_Trees', 'Cigarettes']","['preferred', 'desired']",,Frozen_Peas,Billboards,Demi_Moore,GI_Joe,Hugs,Pine_Trees,Cigarettes,Favorite,
"['Life_Jackets', ""Salt_'N_Pepa"", 'Pumpkins', 'Scooby-Doo', 'Winnie_The_Pooh', 'Ice_Skating', 'Washer_and_Dryer']","['gifted', 'clever', 'skillful']",,Life_Jackets,Salt_'N_Pepa,Pumpkins,Scooby-Doo,Winnie_The_Pooh,Ice_Skating,Washer_and_Dryer,Talented,
"['Orange_Juice', 'Harry_Potter', 'Skinheads', 'Currier_and_Ives', 'Chickens', 'Pink_Flamingos', 'Hamburgers']","['dirty', 'shabby', 'seedy']",,Orange_Juice,Harry_Potter,Skinheads,Currier_and_Ives,Chickens,Pink_Flamingos,Hamburgers,Grungy,
"['Girls', 'Halloween', 'The_Young_and_The_Restless', 'Getting_Mail', 'Gymnastics', 'Harry_Potter', 'Driving_Off_A_Cliff']","['distorted', 'warped', 'perverted']",,Girls,Halloween,The_Young_and_The_Restless,Getting_Mail,Gymnastics,Harry_Potter,Driving_Off_A_Cliff,Twisted,
"['Screeching', 'Watermelon', 'Dolly_Parton', 'Aladdin', 'Science_Fair_Projects', 'Parachutes', 'Beauty_And_The_Beast']","['daring', 'brave', 'courageous']",,Screeching,Watermelon,Dolly_Parton,Aladdin,Science_Fair_Projects,Parachutes,Beauty_And_The_Beast,Bold,
"['Grave_Robbers', 'Belt_Buckles', 'A_Spare_Tire', 'Going_On_Vacation', ""At_My_Parent's_House"", 'Global_Warming', 'Death_and_Taxes']","['egotistical', 'overconfident', 'conceited']",,Grave_Robbers,Belt_Buckles,A_Spare_Tire,Going_On_Vacation,At_My_Parent's_House,Global_Warming,Death_and_Taxes,Arrogant,
"['Swiss_Bank_Accounts', 'Rod_and_Reel', 'Turtles', 'Itchy_Clothes', 'Christmas', 'Tulips', 'Walking_The_Dog']","['stylish', 'trendy', 'fast']",,Swiss_Bank_Accounts,Rod_and_Reel,Turtles,Itchy_Clothes,Christmas,Tulips,Walking_The_Dog,Snappy,
"['The_Zoo', 'Emily_Dickinson', 'Supermodels', 'Music_Lessons', 'Carlos_Santana', 'Nicholas_Cage', 'Bottled_Water']","['captivating', 'charming', 'spell-binding']",,The_Zoo,Emily_Dickinson,Supermodels,Music_Lessons,Carlos_Santana,Nicholas_Cage,Bottled_Water,Enchanting,
"['Kisses', 'Assembly_Lines', 'Junk_Mail', 'Atlantis', 'Porsche_Boxster', 'Bubbles', 'Ducks']","['furious', 'vicious', 'destructive']",,Kisses,Assembly_Lines,Junk_Mail,Atlantis,Porsche_Boxster,Bubbles,Ducks,Violent,
"['Hootie_and_The_Blowfish', 'Screaming', 'Ginger_and_Mary_Ann', 'Crazy_Horse', 'Getting_A_Shot', 'Alien_Abductions', 'Tents']","['pretty', 'perky', 'delightful']",,Hootie_and_The_Blowfish,Screaming,Ginger_and_Mary_Ann,Crazy_Horse,Getting_A_Shot,Alien_Abductions,Tents,Cute,
"['Colin_Powell', 'Mittens', 'Band-Aids', 'Mensa_High_IQ_Society', 'Swans', 'Body_Surfing', 'Airline_Food']","['distinctive', 'unique', 'original']",,Colin_Powell,Mittens,Band-Aids,Mensa_High_IQ_Society,Swans,Body_Surfing,Airline_Food,Special,
"['My_Grandpa', 'Corn_On_The_Cob', 'Howard_Stern', 'Milk_Duds', 'Milwaukee', 'Watching_TV', 'Dustin_Hoffman']","['opulent', 'lavish', 'sumptuous']",,My_Grandpa,Corn_On_The_Cob,Howard_Stern,Milk_Duds,Milwaukee,Watching_TV,Dustin_Hoffman,Luxurious,
"['Hotdogs', 'Old_Age', 'Thelma_and_Louise', 'My_Mind', 'A_Nine_Iron', 'Homework', 'Recycling']","['not', 'short', 'not', 'low']",,Hotdogs,Old_Age,Thelma_and_Louise,My_Mind,A_Nine_Iron,Homework,Recycling,Tall,
"['Octopus', 'Plane_Crashes', 'Science_Tests', 'Barbed_Wire', 'Peanut_Butter', 'The_Wright_Brothers', 'Soldiers']","['soft', 'compassionate', 'fragile']",,Octopus,Plane_Crashes,Science_Tests,Barbed_Wire,Peanut_Butter,The_Wright_Brothers,Soldiers,Tender,
"['Windsurfing', 'Grapes', 'Rosa_Parks', 'Large_Mouth_Bass', 'Dog_Days', 'Going_On_A_Safari', 'Lemonade']","['sugary', 'caring', 'good']",,Windsurfing,Grapes,Rosa_Parks,Large_Mouth_Bass,Dog_Days,Going_On_A_Safari,Lemonade,Sweet,
"['Baby_Showers', 'Pencil_and_Paper', 'Toasted_Marshmallows', 'Dating', 'Exorcism', 'Science_Tests', 'Zombies']","['false', 'artificial', 'imitation']",,Baby_Showers,Pencil_and_Paper,Toasted_Marshmallows,Dating,Exorcism,Science_Tests,Zombies,Phony,
"['Sandra_Bullock', 'Mount_Rushmore', 'Chickens', 'Summer', 'Cleopatra', 'Claude_Monet', 'Birds']","['sugary', 'caring', 'good']",,Sandra_Bullock,Mount_Rushmore,Chickens,Summer,Cleopatra,Claude_Monet,Birds,Sweet,
"['My_Family', 'The_Three_Tenors', 'London', 'Superman', 'Madonna', 'Getting_Lost', 'Dog_Days']","['interesting', 'attractive']",,My_Family,The_Three_Tenors,London,Superman,Madonna,Getting_Lost,Dog_Days,Fascinating,
"['Rollerblading', 'Driving_Off_A_Cliff', 'Fred_Flintstone', 'Construction_Workers', 'Saddam_Hussein', 'Oxygen', 'Cindy_Crawford']","['old', 'ancient', 'mature']",,Rollerblading,Driving_Off_A_Cliff,Fred_Flintstone,Construction_Workers,Saddam_Hussein,Oxygen,Cindy_Crawford,Aged,
"['Goldie_Hawn', 'Lemon_Meringue_Pie', 'The_San_Andreas_Fault', 'Three_Men_and_A_Baby', 'Baked_Potatoes', 'Mail_Carrier', 'Neighbors']","['contentious', 'disputable', 'debatable']",,Goldie_Hawn,Lemon_Meringue_Pie,The_San_Andreas_Fault,Three_Men_and_A_Baby,Baked_Potatoes,Mail_Carrier,Neighbors,Controversial,
"['Beer', 'Ships', 'Chocolate_Milk', 'Anthony_Hopkins', 'Bungee_Jumping', 'Lightning', 'Amputations']","['well-bred', 'purified', 'cultivated']",,Beer,Ships,Chocolate_Milk,Anthony_Hopkins,Bungee_Jumping,Lightning,Amputations,Refined,
"['A_Giant', 'Car_Horns', 'Red_Roses', 'Martin_Luther_King,_Jr.', 'Globes', 'A_Can_Of_Worms', 'Lemon_Meringue_Pie']","['secretive', 'puzzling', 'strange']",,A_Giant,Car_Horns,Red_Roses,"Martin_Luther_King,_Jr.",Globes,A_Can_Of_Worms,Lemon_Meringue_Pie,Mysterious,
"[""Custer's_Last_Stand"", 'Worms', 'A_Full_Moon', 'Mountains', 'Zippers', 'Dollars_and_Cents', 'Goldie_Hawn']","['dirty', 'foul', 'unclean']",,Custer's_Last_Stand,Worms,A_Full_Moon,Mountains,Zippers,Dollars_and_Cents,Goldie_Hawn,Filthy,
"['Pride_and_Prejudice', 'Tarred_and_Feathered', 'Roosters', 'Power_and_Glory', 'Monkeys', 'Armadillo', 'Peace_and_Quiet']","['tepid', 'mild', 'affectionate']",,Pride_and_Prejudice,Tarred_and_Feathered,Roosters,Power_and_Glory,Monkeys,Armadillo,Peace_and_Quiet,Warm,
"['Ebony_and_Ivory', 'Beer', 'Fireworks', 'Gold_Chains', 'Glaciers', 'Hang_Gliding', 'Witch_Hunts']","['messy', 'careless']",,Ebony_and_Ivory,Beer,Fireworks,Gold_Chains,Glaciers,Hang_Gliding,Witch_Hunts,Sloppy,
"['Sunday_Drivers', 'Claude_Monet', 'Calvin_and_Hobbs', 'Globes', 'My_First_Kiss', 'Belt_Buckles', 'Fat']","['obsessive', 'consuming', 'captivating']",,Sunday_Drivers,Claude_Monet,Calvin_and_Hobbs,Globes,My_First_Kiss,Belt_Buckles,Fat,Addictive,
"['Ninjas', 'Water_Skiing', 'A_French_Maid', 'Scientists', 'Flannel_Shirts', 'Robin_Williams', 'Moon_and_The_Stars']","['arousing', 'appealing', 'seductive']",,Ninjas,Water_Skiing,A_French_Maid,Scientists,Flannel_Shirts,Robin_Williams,Moon_and_The_Stars,Sexy,
"['Pineapples', 'The_North_Pole', 'Gettysburg,_1863', 'A_Prince', 'Jimmy_Stewart', 'Spelling_Bees', 'Teenagers']","['kooky', 'foolish', 'nutlike']",,Pineapples,The_North_Pole,"Gettysburg,_1863",A_Prince,Jimmy_Stewart,Spelling_Bees,Teenagers,Nutty,
"['Football_Players', 'Las_Vegas', 'Stonehenge', 'Victorian_England', 'The_Indy_500', 'French_Wines', 'Strip_Malls']","['preposterous', 'absurd', 'ludicrous']",,Football_Players,Las_Vegas,Stonehenge,Victorian_England,The_Indy_500,French_Wines,Strip_Malls,Ridiculous,
"['Mold', 'My_Mom', 'Joan_Of_Arc', 'The_Far_Left', 'Balloons', 'Atomic_Bombs', 'Hamburgers']","['shy', 'timid', 'modest']",,Mold,My_Mom,Joan_Of_Arc,The_Far_Left,Balloons,Atomic_Bombs,Hamburgers,Bashful,
"['Little_Brown_Mice', 'Black_Holes', 'Mashed_Potatoes', 'BB_Guns', 'Jodie_Foster', 'Fat', 'The_Renaissance']","['gigantic', 'immense', 'important']",,Little_Brown_Mice,Black_Holes,Mashed_Potatoes,BB_Guns,Jodie_Foster,Fat,The_Renaissance,Huge,
"['Peanut_Butter', 'Darth_Vader', 'Corn_Flakes', 'Piranha', 'Log_Cabins', 'Ordinary_People', 'War_and_Peace']","['scarce', 'unusual', 'half-cooked']",,Peanut_Butter,Darth_Vader,Corn_Flakes,Piranha,Log_Cabins,Ordinary_People,War_and_Peace,Rare,
"['My_Future', 'Cheese', 'Mittens', 'Haunted_House', 'Recess', 'Reading_A_Book', 'A_Bad_Haircut']","['delicious', 'savory', 'juicy']",,My_Future,Cheese,Mittens,Haunted_House,Recess,Reading_A_Book,A_Bad_Haircut,Luscious,
"['Meat_Cleavers', 'R_and_R', 'Richard_Simmons', 'The_Godfather', 'A_Tree_House', 'Hiroshima_-_1945', 'Ginseng']","['plentiful', 'ample', 'numerous']",,Meat_Cleavers,R_and_R,Richard_Simmons,The_Godfather,A_Tree_House,Hiroshima_-_1945,Ginseng,Abundant,
"['Power_and_Glory', 'Lightning', 'Hospitals', 'Batman_and_Robin', 'Warts', 'Jell-O', 'Babe_Ruth']","['occupied', 'meddlesome', 'engrossed']",,Power_and_Glory,Lightning,Hospitals,Batman_and_Robin,Warts,Jell-O,Babe_Ruth,Busy,
"['Butter', 'Deer_Hunting', 'Barbie_and_Ken', 'Winning_The_Lottery', 'Bugs', 'George_and_Jane,_His_Wife', 'Summer']","['dignified', 'extraordinary', 'acclaimed']",,Butter,Deer_Hunting,Barbie_and_Ken,Winning_The_Lottery,Bugs,"George_and_Jane,_His_Wife",Summer,Distinguished,
"['Hospitals', 'Hollywood', 'Steven_Spielberg', 'Sparklers', 'Treehouse', 'Atlantis', 'Skydiving']","['pleasant', 'kind']",,Hospitals,Hollywood,Steven_Spielberg,Sparklers,Treehouse,Atlantis,Skydiving,Nice,
"['Bumper_Cars', 'Carrot_and_A_Stick', 'Feminists', 'Chorus_Girls', 'My_Mind', 'Snowballs', 'Rugrats']","['insulting', 'vulgar', 'attacking']",,Bumper_Cars,Carrot_and_A_Stick,Feminists,Chorus_Girls,My_Mind,Snowballs,Rugrats,Offensive,
"['Lobster', 'Irrational_Fears', 'Drunk_Drivers', 'Frog_and_Toad', 'New_Shoes', 'Windsurfing', 'School_Lunch']","['rotten', 'hurtful']",,Lobster,Irrational_Fears,Drunk_Drivers,Frog_and_Toad,New_Shoes,Windsurfing,School_Lunch,Bad,
"['Cookies', 'Shopping_Mall', 'Pablo_Picasso', 'Football_Players', 'Frozen_Peas', 'Root_Beer_Floats', 'Hawaii']","['frightening', 'slithering', 'scary']",,Cookies,Shopping_Mall,Pablo_Picasso,Football_Players,Frozen_Peas,Root_Beer_Floats,Hawaii,Creepy,
"['Foot_and_Mouth', 'Tom_Hanks', 'MTV', 'Cat_and_Mouse', 'Reading_and_Writing', 'Mae_West', 'Glaciers']","['frightening', 'awful']",,Foot_and_Mouth,Tom_Hanks,MTV,Cat_and_Mouse,Reading_and_Writing,Mae_West,Glaciers,Horrible,
"['Calvin_and_Hobbs', 'The_Library', 'Ronald_McDonald', 'Rice_and_Beans', 'Oil_and_Vinegar', 'Snow_Cones', 'Woody_Allen']","['lovely', 'attractive', 'good-looking']",,Calvin_and_Hobbs,The_Library,Ronald_McDonald,Rice_and_Beans,Oil_and_Vinegar,Snow_Cones,Woody_Allen,Pretty,
"['Casinos', 'The_Dixie_Chicks', 'Italy', 'Yo-Yos', 'Hanukkah', 'Jodie_Foster', 'Madeline']","['significant', 'substantial', 'momentous']",,Casinos,The_Dixie_Chicks,Italy,Yo-Yos,Hanukkah,Jodie_Foster,Madeline,Important,
"['Talk_Radio', 'A_Piano', 'Barbed_Wire', 'Timbuktu', 'Monsters', 'Global_Warming', 'Scientists']","['superficial', 'trivial', 'not', 'deep']",,Talk_Radio,A_Piano,Barbed_Wire,Timbuktu,Monsters,Global_Warming,Scientists,Shallow,
"['Birthday_Cake', 'Timothy_McVey', 'Getting_A_Haircut', 'Bell-Bottoms', 'Exterminators', 'Harry_Potter', 'Hammer_and_Nails']","['brave', 'gallant', 'dauntless']",,Birthday_Cake,Timothy_McVey,Getting_A_Haircut,Bell-Bottoms,Exterminators,Harry_Potter,Hammer_and_Nails,Courageous,
"['Faith_Hill', 'Yin_and_Yang', 'Ballerinas', 'Here_and_There', 'Green_Beans', 'Remote_Controls', 'Science_Fiction']","['at', 'risk', 'threatened', 'unprotected']",,Faith_Hill,Yin_and_Yang,Ballerinas,Here_and_There,Green_Beans,Remote_Controls,Science_Fiction,Endangered,
"['Baby_Showers', 'Strawberries', 'Alien_Abductions', 'The_JFK_Assassination', 'Getting_A_Shot', 'Jamaica', 'Killer_Whales']","['flavorable', 'tangy', 'hot']",,Baby_Showers,Strawberries,Alien_Abductions,The_JFK_Assassination,Getting_A_Shot,Jamaica,Killer_Whales,Spicy,
"['The_Zoo', 'Green_Beans', 'Speeding_Tickets', 'A_French_Maid', 'Televangelists', 'Volleyball', 'A_Cookbook']","['angry', 'raging', 'wild']",,The_Zoo,Green_Beans,Speeding_Tickets,A_French_Maid,Televangelists,Volleyball,A_Cookbook,Furious,
"['Balloons', 'Canoes', 'Belt_Buckles', 'Skateboarding', 'Cleaning_The_Bathroom', 'Pilots', 'Riding_A_Horse']","['respectful', 'well-mannered']",,Balloons,Canoes,Belt_Buckles,Skateboarding,Cleaning_The_Bathroom,Pilots,Riding_A_Horse,Polite,
"['Blizzard', 'Dating', 'Cleaning_Your_Room', 'A_Broken_Leg', 'Mushrooms', 'Grace_Kelly', 'The_Indy_500']","['evil', 'corrupt', 'depraved']",,Blizzard,Dating,Cleaning_Your_Room,A_Broken_Leg,Mushrooms,Grace_Kelly,The_Indy_500,Wicked,
"['Rain', 'Trampolines', 'Flour', 'Raccoons', 'Aroma_Therapy', 'Hanukkah', 'Ferdinand_and_Isabella']","['torturing', 'harassing', 'agonizing']",,Rain,Trampolines,Flour,Raccoons,Aroma_Therapy,Hanukkah,Ferdinand_and_Isabella,Tormenting,
"['Skeletons', 'Fred_Flintstone', 'Crime_and_Punishment', 'Astronauts', 'Under_My_Bed', 'Batman', 'Niagara_Falls']","['religious', 'inspired', 'supernatural']",,Skeletons,Fred_Flintstone,Crime_and_Punishment,Astronauts,Under_My_Bed,Batman,Niagara_Falls,Spiritual,
"['Pacific_Ocean', 'Falling_Down', 'Lock_and_Key', 'My_Neighborhood', 'Pushups', 'Snowflakes', 'Band-Aids']","['authentic', 'lifelike', 'reasonable']",,Pacific_Ocean,Falling_Down,Lock_and_Key,My_Neighborhood,Pushups,Snowflakes,Band-Aids,Realistic,
"['George_Washington', 'HMOs', 'Queen_Elizabeth_II', 'Tobacco_Companies', 'Giant_Squid', 'Toasters', 'Earwigs']","['broad', 'thick']",,George_Washington,HMOs,Queen_Elizabeth_II,Tobacco_Companies,Giant_Squid,Toasters,Earwigs,Wide,
"['Video_Games', 'The_Mafia', 'Parties', 'State_Fair', 'Waterparks', 'John_Philip_Sousa', 'Going_To_A_Movie']","['pessimistic', 'desperate', 'downhearted']",,Video_Games,The_Mafia,Parties,State_Fair,Waterparks,John_Philip_Sousa,Going_To_A_Movie,Hopeless,
"['John_Glenn', 'Dancing', 'Double_Thick_Malts', 'James_Bond', 'Blowing_Your_Nose', 'Thunderstorms', 'Sumo_Wrestlers']","['faultless', 'consummate', 'exact']",,John_Glenn,Dancing,Double_Thick_Malts,James_Bond,Blowing_Your_Nose,Thunderstorms,Sumo_Wrestlers,Perfect,
"['Flying_A_Kite', 'D-Day,_1944', 'Getting_Mail', 'Raisins', 'A_Hole_In_One', 'Getting_A_Hug', 'A_Honeymoon']","['scary', 'horrifying', 'awesome']",,Flying_A_Kite,"D-Day,_1944",Getting_Mail,Raisins,A_Hole_In_One,Getting_A_Hug,A_Honeymoon,Frightening,
"['Lady_and_The_Tramp', 'Washer_and_Dryer', 'Mae_West', 'Giving_A_Hug', 'Bell-Bottoms', 'Golf-Ball-Sized_Hail', 'Men']","['not', 'fast', 'pokey']",,Lady_and_The_Tramp,Washer_and_Dryer,Mae_West,Giving_A_Hug,Bell-Bottoms,Golf-Ball-Sized_Hail,Men,Slow,
"['Fred_and_Wilma', 'Barbershops', 'Pizza', 'Princess_Di', 'Dolphins', 'State_Fair', 'The_Eiffel_Tower']","['irritating', 'bothersome', 'teasing']",,Fred_and_Wilma,Barbershops,Pizza,Princess_Di,Dolphins,State_Fair,The_Eiffel_Tower,Annoying,
"['Pilots', 'Stephen_King', 'The_Electric_Chair', 'Haiku', 'Here_and_There', 'Scooby-Doo', 'Earwigs']","['kooky', 'foolish', 'nutlike']",,Pilots,Stephen_King,The_Electric_Chair,Haiku,Here_and_There,Scooby-Doo,Earwigs,Nutty,
"['Clowns', 'Watching_Cartoons', 'Mardi_Gras', 'Trains', 'Spinach', 'My_Teacher', 'Raccoons']","['expensive', 'important']",,Clowns,Watching_Cartoons,Mardi_Gras,Trains,Spinach,My_Teacher,Raccoons,Valuable,
"['Parenting', 'The_Internet', 'Big_Macs', 'Brains', ""Georgia_O'Keeffe"", 'Ben_Stiller', 'The_Atlantic_and_Pacific']","['deep', 'wise', 'thoughtful']",,Parenting,The_Internet,Big_Macs,Brains,Georgia_O'Keeffe,Ben_Stiller,The_Atlantic_and_Pacific,Profound,
"['Dark_Alleys', 'Discovering_America', 'Johnny_Depp', 'Judge_Judy', 'Potato_Chips', 'Erasers', 'Water_Guns']","['insane', 'bizarre', 'wacky']",,Dark_Alleys,Discovering_America,Johnny_Depp,Judge_Judy,Potato_Chips,Erasers,Water_Guns,Crazy,
"['King_Tut', 'My_Past', 'The_Police', 'Men', 'Britney_Spears', 'Corvettes', 'An_Igloo']","['mean', 'harsh', 'merciless']",,King_Tut,My_Past,The_Police,Men,Britney_Spears,Corvettes,An_Igloo,Cruel,
"['Tree_Huggers', 'Blackouts', 'Beethoven', 'David_Letterman', 'A_Cheap_Motel', 'Cuba', 'Cleaning_The_Bathroom']","['wealthy', 'affluent', 'moneyed']",,Tree_Huggers,Blackouts,Beethoven,David_Letterman,A_Cheap_Motel,Cuba,Cleaning_The_Bathroom,Rich,
"['Piranha', 'Pumpkins', 'Pilots', 'Olive_Oil', 'Swiss_Chocolate', 'Cleopatra', 'Moon_and_The_Stars']","['sugary', 'caring', 'good']",,Piranha,Pumpkins,Pilots,Olive_Oil,Swiss_Chocolate,Cleopatra,Moon_and_The_Stars,Sweet,
"['Playing_Checkers', 'Ear_Wax', 'R_and_R', 'Space_and_Time', 'Recreational_Vehicles', 'Alligators', 'Bread_and_Water']","['not', 'dark', 'not', 'heavy']",,Playing_Checkers,Ear_Wax,R_and_R,Space_and_Time,Recreational_Vehicles,Alligators,Bread_and_Water,Light,
"['Bubble_Bath', 'Field_and_Stream', 'A_School_Cafeteria', 'Charging_Rhinos', 'Choir_Boys', 'Dating', 'Albert_Einstein']","['unaware', 'oblivious', 'ignorant']",,Bubble_Bath,Field_and_Stream,A_School_Cafeteria,Charging_Rhinos,Choir_Boys,Dating,Albert_Einstein,Clueless,
"['Cockles_and_Mussels', 'Emily_Dickinson', 'Frog_and_Toad', 'A_Sunrise', 'Looking_For_A_Job', 'In_The_Basement', 'Hip_Hop']","['usual', 'common', 'ordinary']",,Cockles_and_Mussels,Emily_Dickinson,Frog_and_Toad,A_Sunrise,Looking_For_A_Job,In_The_Basement,Hip_Hop,Normal,
"['AM_and_FM', 'Alaska', 'Monster_Trucks', 'Baseball_Fields', 'Raking_Leaves', 'Dr._Jekyll_and_Mr._Hyde', 'Castles']","['broad', 'thick']",,AM_and_FM,Alaska,Monster_Trucks,Baseball_Fields,Raking_Leaves,Dr._Jekyll_and_Mr._Hyde,Castles,Wide,
"['A_Haunted_House', 'Cat_and_Mouse', 'Bride_and_Groom', 'Vincent_Van_Gogh', 'Leather', 'Dump_Trucks', 'Dance_Class']","['contentious', 'disputable', 'debatable']",,A_Haunted_House,Cat_and_Mouse,Bride_and_Groom,Vincent_Van_Gogh,Leather,Dump_Trucks,Dance_Class,Controversial,
"['Slivers', 'Exorcism', 'Cowboys_and_Indians', 'Falling_Down', 'Boys', 'Spiders', 'Pretzels']","['irritating', 'bothersome', 'teasing']",,Slivers,Exorcism,Cowboys_and_Indians,Falling_Down,Boys,Spiders,Pretzels,Annoying,
"['Soldiers', 'Liberty_and_Justice', 'Batman', 'War_and_Peace', 'Brooks_and_Dunn', 'Sin_and_Redemption', 'Tibet']","['trivial', 'silly', 'shallow']",,Soldiers,Liberty_and_Justice,Batman,War_and_Peace,Brooks_and_Dunn,Sin_and_Redemption,Tibet,Frivolous,
"['The_Green_Bay_Packers', 'The_Cold_War', 'HMOs', 'The_Baby-Sitters_Club', 'Plastic', 'Lifeguard', 'Gravy']","['naughty', 'prankish', 'sly']",,The_Green_Bay_Packers,The_Cold_War,HMOs,The_Baby-Sitters_Club,Plastic,Lifeguard,Gravy,Mischievous,
"['Flip-Flops', 'South_Africa', 'Vanilla_Pudding', 'Lions', 'John_F._Kennedy', 'Challenger_Explosion', 'Watermelon']","['fragile', 'weak']",,Flip-Flops,South_Africa,Vanilla_Pudding,Lions,John_F._Kennedy,Challenger_Explosion,Watermelon,Frail,
"['Clint_Eastwood', 'Whips', 'New_York_City', 'Pail_and_Shovel', 'Chips_and_Salsa', 'Tree_Huggers', 'Indiana_Jones']","['wicked', 'corrupt', 'depraved']",,Clint_Eastwood,Whips,New_York_City,Pail_and_Shovel,Chips_and_Salsa,Tree_Huggers,Indiana_Jones,Evil,
"['Surfing', 'The_Three_Tenors', 'Mosquito_Bites', 'Dustin_Hoffman', 'Sandra_Bullock', 'A_Tree_House', 'Stuart_Little']","['elderly', 'old', 'antique']",,Surfing,The_Three_Tenors,Mosquito_Bites,Dustin_Hoffman,Sandra_Bullock,A_Tree_House,Stuart_Little,Ancient,
"['A_Sunrise', 'My_Father', 'Bulls_and_Bears', 'My_Grandma', 'Martha_Stewart', 'Cinderella', 'Baseball_Games']","['soft', 'squishy']",,A_Sunrise,My_Father,Bulls_and_Bears,My_Grandma,Martha_Stewart,Cinderella,Baseball_Games,Mushy,
"['Dandruff', 'A_Used_Car_Lot', 'The_1950s', 'Lemons', 'Street_Mimes', 'A_Desert', 'A_Giant']","['kooky', 'foolish', 'nutlike']",,Dandruff,A_Used_Car_Lot,The_1950s,Lemons,Street_Mimes,A_Desert,A_Giant,Nutty,
"['Mad_Cow_Disease', 'Playgrounds', 'Black_Velvet', 'Camels', 'Flags', 'Hammerhead_Sharks', 'Arnold_Schwarzenegger']","['respectful', 'well-mannered']",,Mad_Cow_Disease,Playgrounds,Black_Velvet,Camels,Flags,Hammerhead_Sharks,Arnold_Schwarzenegger,Polite,
"['Bates_Motel', 'King_Henry_VIII', 'Gall_Bladder', 'Car_Bombs', 'Spelling_Bees', 'The_Milky_Way', 'Chopsticks']","['nationalistic', 'loyal', 'public-spirited']",,Bates_Motel,King_Henry_VIII,Gall_Bladder,Car_Bombs,Spelling_Bees,The_Milky_Way,Chopsticks,Patriotic,
"['Blackouts', 'Black_Licorice', 'The_Statue_Of_Liberty', 'Ernest_Hemingway', 'Octopus', 'Miniature_Golf', 'Falling_Down']","['calm', 'not', 'tense']",,Blackouts,Black_Licorice,The_Statue_Of_Liberty,Ernest_Hemingway,Octopus,Miniature_Golf,Falling_Down,Relaxed,
"['Dictionaries', 'Snowflakes', 'Gingko_Trees', 'Mark_Twain', 'Elmo', 'Body_Piercing', 'Steve_Martin']","['gummy', 'rubbery', 'stringy']",,Dictionaries,Snowflakes,Gingko_Trees,Mark_Twain,Elmo,Body_Piercing,Steve_Martin,Chewy,
"['Dumbo', 'Lemon_and_Lime', 'Picking_Your_Nose', 'Fire', 'Grace_Kelly', 'The_Ozone_Layer', 'My_Mind']","['impaired', 'damaged', 'maladjusted']",,Dumbo,Lemon_and_Lime,Picking_Your_Nose,Fire,Grace_Kelly,The_Ozone_Layer,My_Mind,Dysfunctional,
"['Hanukkah', 'Michelangelo', 'Snowstorm', 'French_Wines', 'Haunted_House', 'My_Neighborhood', 'The_North_Pole']","['scarce', 'unusual', 'half-cooked']",,Hanukkah,Michelangelo,Snowstorm,French_Wines,Haunted_House,My_Neighborhood,The_North_Pole,Rare,
"['Amputations', 'Knitting_Needles', 'Gossip', 'Treehouse', 'Tattoos', 'High_School_Reunions', 'Sean_Connery']","['pretty', 'perky', 'delightful']",,Amputations,Knitting_Needles,Gossip,Treehouse,Tattoos,High_School_Reunions,Sean_Connery,Cute,
