7,6,5,synonyms,target,4,hand,3,1,2
Track_and_Field,Kiss_and_Tell,Painting_A_Fence,"['thrilling', 'breathtaking', 'arousing']",Exciting,My_Memories,"['Water_Guns', 'Dance_Class', 'Dennis_Rodman', 'My_Memories', 'Painting_A_Fence', 'Kiss_and_Tell', 'Track_and_Field']",Dennis_Rodman,Water_Guns,Dance_Class
Pencils,Peacocks,Llamas,"['unsophisticated', 'childlike', 'simple']",Naive,Hammerhead_Sharks,"['The_Far_Right', 'Drew_Barrymore', 'Turkey_and_Stuffing', 'Hammerhead_Sharks', 'Llamas', 'Peacocks', 'Pencils']",Turkey_and_Stuffing,The_Far_Right,Drew_Barrymore
Honey,Snow_White,Richard_Simmons,"['risky', 'dangerous', 'perilous']",Hazardous,Rock_Concerts,"['Hair_Transplants', 'North_and_South_Dakota', 'United_Nations', 'Rock_Concerts', 'Richard_Simmons', 'Snow_White', 'Honey']",United_Nations,Hair_Transplants,North_and_South_Dakota
Frisbees,Gardening,Caves,"['exhausted', 'frayed', 'worn']",Frazzled,Cherries,"['Richard_Simmons', 'Outer_Space', 'Life_Jackets', 'Cherries', 'Caves', 'Gardening', 'Frisbees']",Life_Jackets,Richard_Simmons,Outer_Space
Howard_Stern,Plane_Crashes,Hairballs,"['scary', 'weird', 'ghostly']",Spooky,Divorce,"['Velcro', 'Honey', 'Rock_and_Roll', 'Divorce', 'Hairballs', 'Plane_Crashes', 'Howard_Stern']",Rock_and_Roll,Velcro,Honey
Demi_Moore,Scientists,Fat,"['male', 'manly', 'virile']",Masculine,Dance_Class,"['Magic_Tricks', 'Oranges', 'The_Moon', 'Dance_Class', 'Fat', 'Scientists', 'Demi_Moore']",The_Moon,Magic_Tricks,Oranges
The_First_Day_Of_School,Blackouts,Niagara_Falls,"['cozy', 'snug', 'restful']",Comfortable,Pink_Flamingos,"['The_Renaissance', 'Bacon', 'A_Car_Crash', 'Pink_Flamingos', 'Niagara_Falls', 'Blackouts', 'The_First_Day_Of_School']",A_Car_Crash,The_Renaissance,Bacon
Sugar,Family_Vacations,Clouds,"['not', 'curved', 'direct']",Straight,Attack_On_Pearl_Harbor,"['Clowns', 'Berlin_-_1945', 'Ghosts_and_Goblins', 'Attack_On_Pearl_Harbor', 'Clouds', 'Family_Vacations', 'Sugar']",Ghosts_and_Goblins,Clowns,Berlin_-_1945
Hit_and_Run,A_Broken_Leg,Creamed_Corn,"['very', 'good', 'outstanding']",Excellent,Choir_Boys,"['Bates_Motel', 'Rio_De_Janeiro', 'Sesame_Street', 'Choir_Boys', 'Creamed_Corn', 'A_Broken_Leg', 'Hit_and_Run']",Sesame_Street,Bates_Motel,Rio_De_Janeiro
Brad_Pitt,Knitting_Needles,Social_Security,"['pretty', 'lovely']",Beautiful,The_Universe,"['John_F._Kennedy', 'Ants', 'Hanukkah', 'The_Universe', 'Social_Security', 'Knitting_Needles', 'Brad_Pitt']",Hanukkah,John_F._Kennedy,Ants
Eggplant,Thunder_and_Lightning,Pork_and_Beans,"['diligent', 'busy', 'hard-working']",Industrious,Dirty_Socks,"['Local_Police', 'My_Love_Life', 'Pink_Flamingos', 'Dirty_Socks', 'Pork_and_Beans', 'Thunder_and_Lightning', 'Eggplant']",Pink_Flamingos,Local_Police,My_Love_Life
Leather,Johnny_Depp,Sunday_Drivers,"['innocent', 'unadulterated', 'chaste']",Pure,Peaches,"['Motorcycles', 'Stanley_and_Livingston', 'Going_On_A_Safari', 'Peaches', 'Sunday_Drivers', 'Johnny_Depp', 'Leather']",Going_On_A_Safari,Motorcycles,Stanley_and_Livingston
Road_Trips,Cinderella,Finger_Painting,"['faultless', 'consummate', 'exact']",Perfect,A_Mummy,"['VW_Beetles', 'Trees', 'Bed_and_Breakfast', 'A_Mummy', 'Finger_Painting', 'Cinderella', 'Road_Trips']",Bed_and_Breakfast,VW_Beetles,Trees
Beavis_and_Butt-Head,Cheerleaders,Dumbo,"['comfortable', 'snug', 'warm']",Cozy,Chicken_Pox,"['Going_To_Church', 'Angry_Hornets', 'The_Moon', 'Chicken_Pox', 'Dumbo', 'Cheerleaders', 'Beavis_and_Butt-Head']",The_Moon,Going_To_Church,Angry_Hornets
The_Ozone_Layer,Nosebleeds,Pounding_Nails,"['showy', 'ornate', 'decorated']",Fancy,Buttons_and_Bows,"['My_Future', 'Pencils', 'Flower_Gardens', 'Buttons_and_Bows', 'Pounding_Nails', 'Nosebleeds', 'The_Ozone_Layer']",Flower_Gardens,My_Future,Pencils
Roller_Coaster,Tomatoes,Learning_To_Ski,"['notable', 'impressive', 'remarkable']",Unforgettable,Rocking_Chairs,"['Puppets', 'Napoleon_Bonaparte', 'Laverne_and_Shirley', 'Rocking_Chairs', 'Learning_To_Ski', 'Tomatoes', 'Roller_Coaster']",Laverne_and_Shirley,Puppets,Napoleon_Bonaparte
E-Mail,Muddy_Feet,The_San_Andreas_Fault,"['sour', 'tart']",Bitter,Bonbons,"['Actresses', 'The_Little_Mermaid', 'Summer_Camp', 'Bonbons', 'The_San_Andreas_Fault', 'Muddy_Feet', 'E-Mail']",Summer_Camp,Actresses,The_Little_Mermaid
Hammer_and_Sickle,Handcuffs,My_Refrigerator,"['old', 'ancient', 'mature']",Aged,Rubber_Gloves,"['The_Universe', 'Porcupines', 'Rain_Forests', 'Rubber_Gloves', 'My_Refrigerator', 'Handcuffs', 'Hammer_and_Sickle']",Rain_Forests,The_Universe,Porcupines
Robin_Williams,Bee_Stings,Tyra_Banks,"['honest', 'reliable', 'unfailing']",Trustworthy,Ragweed,"['Snowboarding', 'Getting_A_Shot', 'Graffiti', 'Ragweed', 'Tyra_Banks', 'Bee_Stings', 'Robin_Williams']",Graffiti,Snowboarding,Getting_A_Shot
Harry_Potter,Madonna,Hiding_Places,"['simple', 'evident', 'ordinary']",Plain,Tornadoes,"['A_Leaky_Boat', 'Pineapples', 'Pumping_Iron', 'Tornadoes', 'Hiding_Places', 'Madonna', 'Harry_Potter']",Pumping_Iron,A_Leaky_Boat,Pineapples
Fred_and_Wilma,The_Milky_Way,Babe_Ruth,"['urbane', 'cosmopolitan', 'complex']",Sophisticated,E-Mail,"['Face_Paint', 'Bill_and_Ted', 'Fear_and_Loathing', 'E-Mail', 'Babe_Ruth', 'The_Milky_Way', 'Fred_and_Wilma']",Fear_and_Loathing,Face_Paint,Bill_and_Ted
Bora_Bora,Joan_Of_Arc,The_Internet,"['sneaky', 'shifty', 'tricky']",Devious,A_High_School_Bathroom,"['Pancakes', 'The_IRS', ""Salt_'N_Pepa"", 'A_High_School_Bathroom', 'The_Internet', 'Joan_Of_Arc', 'Bora_Bora']",Salt_'N_Pepa,Pancakes,The_IRS
My_Body,Blowing_Your_Nose,Black_Holes,"['rotten', 'hurtful']",Bad,Salvador_Dali,"['A_Flat_Tire', 'Ears', 'Michael_Jackson', 'Salvador_Dali', 'Black_Holes', 'Blowing_Your_Nose', 'My_Body']",Michael_Jackson,A_Flat_Tire,Ears
Jonah_and_The_Whale,Monster_Trucks,A_Cabin_In_The_Woods,"['fortunate', 'serendipitous', 'favored']",Lucky,Milk_Duds,"['Pancakes', 'Barbie_Dolls', 'Corn_Flakes', 'Milk_Duds', 'A_Cabin_In_The_Woods', 'Monster_Trucks', 'Jonah_and_The_Whale']",Corn_Flakes,Pancakes,Barbie_Dolls
Having_A_Party,Mom_and_Pop,Chorus_Girls,"['dismal', 'gloomy', 'sad']",Depressing,X-Rays,"['Mutual_Funds', 'Paper_Route', 'Breaking_and_Entering', 'X-Rays', 'Chorus_Girls', 'Mom_and_Pop', 'Having_A_Party']",Breaking_and_Entering,Mutual_Funds,Paper_Route
Rap_Music,Firestorms,Tibet,"['malleable', 'pliable', 'mushy']",Soft,"Martin_Luther_King,_Jr.","['Drew_Carey', 'Hot_Lava', 'The_Academy_Awards', 'Martin_Luther_King,_Jr.', 'Tibet', 'Firestorms', 'Rap_Music']",The_Academy_Awards,Drew_Carey,Hot_Lava
Pineapple,Dump_Trucks,My_Dad,"['thrilling', 'breathtaking', 'arousing']",Exciting,A_French_Maid,"['Mount_Vesuvius', 'Harrison_Ford', 'Body_Surfing', 'A_French_Maid', 'My_Dad', 'Dump_Trucks', 'Pineapple']",Body_Surfing,Mount_Vesuvius,Harrison_Ford
Water_Skiing,A_Microwave_Oven,Artists,"['imaginary', 'illusionary', 'unbelievable']",Unreal,My_Shoes,"['The_Circus', 'A_Refrigerator', 'High_School', 'My_Shoes', 'Artists', 'A_Microwave_Oven', 'Water_Skiing']",High_School,The_Circus,A_Refrigerator
Mom_and_Apple_Pie,Trinidad_and_Tobago,My_Bank_Account,"['scared', 'worried']",Fearful,Hang_Gliding,"['Family_Reunions', 'Japan', 'Grease_and_Grime', 'Hang_Gliding', 'My_Bank_Account', 'Trinidad_and_Tobago', 'Mom_and_Apple_Pie']",Grease_and_Grime,Family_Reunions,Japan
Beavis_and_Butt-Head,Elephants,Amsterdam,"['restful', 'calming', 'peaceful']",Relaxing,Pearl_Earrings,"['Aroma_Therapy', 'Frozen_Peas', 'Gold_Chains', 'Pearl_Earrings', 'Amsterdam', 'Elephants', 'Beavis_and_Butt-Head']",Gold_Chains,Aroma_Therapy,Frozen_Peas
Nirvana,Tornadoes,Kindergarten,"['slick', 'sliding']",Slippery,Chicken_Nuggets,"['Bats_and_Balls', 'Joan_Of_Arc', 'My_Body', 'Chicken_Nuggets', 'Kindergarten', 'Tornadoes', 'Nirvana']",My_Body,Bats_and_Balls,Joan_Of_Arc
War_and_Peace,Chains,Corned_Beef_and_Cabbage,"['concerned', 'interested']",Caring,Dirty_Diapers,"['Madame_Curie', 'The_Grateful_Dead', 'Vanilla_Pudding', 'Dirty_Diapers', 'Corned_Beef_and_Cabbage', 'Chains', 'War_and_Peace']",Vanilla_Pudding,Madame_Curie,The_Grateful_Dead
Road_Kill,Brothers_and_Sisters,Fort_Knox,"['reflective', 'gleaming', 'polished']",Shiny,Saturday_Cartoons,"['Bumble_Bees', 'Bottled_Water', 'My_Love_Life', 'Saturday_Cartoons', 'Fort_Knox', 'Brothers_and_Sisters', 'Road_Kill']",My_Love_Life,Bumble_Bees,Bottled_Water
Amputations,Bread_and_Water,Bill_Murray,"['angry', 'raging', 'wild']",Furious,Llamas,"['Miles_Davis', 'Peanut_Butter_and_Jelly', 'Witch_Hunts', 'Llamas', 'Bill_Murray', 'Bread_and_Water', 'Amputations']",Witch_Hunts,Miles_Davis,Peanut_Butter_and_Jelly
The_Gulf_War,A_Nine_Iron,Peace_and_Quiet,"['useful', 'helpful']",Practical,Pineapple,"['Grease_and_Grime', 'Buying_A_House', 'Meat_and_Potatoes', 'Pineapple', 'Peace_and_Quiet', 'A_Nine_Iron', 'The_Gulf_War']",Meat_and_Potatoes,Grease_and_Grime,Buying_A_House
Birthday_Cake,Sigmund_Freud,Lance_Armstrong,"['gallant', 'bold', 'elegant']",Dashing,Madame_Curie,"['Armed_Robbery', 'East_Coast', 'Grease', 'Madame_Curie', 'Lance_Armstrong', 'Sigmund_Freud', 'Birthday_Cake']",Grease,Armed_Robbery,East_Coast
The_U.S._Constitution,Tomato_Soup,Backstreet_Boys,"['frantic', 'headlong', 'reckless']",Desperate,Witch_Hunts,"['Bananas', 'Bread_and_Water', 'Machine_Guns', 'Witch_Hunts', 'Backstreet_Boys', 'Tomato_Soup', 'The_U.S._Constitution']",Machine_Guns,Bananas,Bread_and_Water
Me_and_My_Shadow,A_Flat_Tire,Coughing_and_Sneezing,"['understandable', 'uncluttered', 'transparent']",Clear,Football,"['Guitars', 'Woody_Allen', 'Basketball', 'Football', 'Coughing_and_Sneezing', 'A_Flat_Tire', 'Me_and_My_Shadow']",Basketball,Guitars,Woody_Allen
Women's_Soccer,Reading_A_Book,Hammer_and_Sickle,"['shy', 'timid', 'modest']",Bashful,Paul_McCartney_and_Wings,"['The_1970s', 'Clay', 'Seashells', 'Paul_McCartney_and_Wings', 'Hammer_and_Sickle', 'Reading_A_Book', ""Women's_Soccer""]",Seashells,The_1970s,Clay
Mom_and_Pop,Nobel_Peace_Prize,Communists,"['trashy', 'tawdry', 'far-fetched']",Cheesy,Captain_Kirk,"['Cooking_Dinner', 'Going_To_School', 'Dating', 'Captain_Kirk', 'Communists', 'Nobel_Peace_Prize', 'Mom_and_Pop']",Dating,Cooking_Dinner,Going_To_School
Japanese,Hockey,Adam_Sandler,"['loud', 'not', 'quiet']",Noisy,Paul_McCartney_and_Wings,"['Stars', 'Conspiracy_Theories', 'Tarred_and_Feathered', 'Paul_McCartney_and_Wings', 'Adam_Sandler', 'Hockey', 'Japanese']",Tarred_and_Feathered,Stars,Conspiracy_Theories
Ben_Stiller,Sunflower,Gardening,"['old', 'aged']",Elderly,Water_Baloons,"['Baby_Showers', 'Peaches', 'Toasters', 'Water_Baloons', 'Gardening', 'Sunflower', 'Ben_Stiller']",Toasters,Baby_Showers,Peaches
Peanut_Butter,The_Earth,Rio_De_Janeiro,"['scientific', 'futuristic', 'mechanical']",Technological,Band-Aids,"['Corn_Flakes', 'Friction', 'Regis_Philbin', 'Band-Aids', 'Rio_De_Janeiro', 'The_Earth', 'Peanut_Butter']",Regis_Philbin,Corn_Flakes,Friction
Mount_Rushmore,Water,Deer_Hunting,"['cozy', 'snug', 'restful']",Comfortable,Jackie_Chan,"['My_Town', 'Kangaroos', 'A_Submarine', 'Jackie_Chan', 'Deer_Hunting', 'Water', 'Mount_Rushmore']",A_Submarine,My_Town,Kangaroos
Spiders,Giant_Squid,Doorbells,"['intelligent', 'ingenious', 'witty']",Clever,The_Common_Loon,"['Romeo_And_Juliet', 'Camping', 'Pearl_Earrings', 'The_Common_Loon', 'Doorbells', 'Giant_Squid', 'Spiders']",Pearl_Earrings,Romeo_And_Juliet,Camping
Antarctica,Strip_Malls,Cloned_Sheep,"['offensive', 'repulsive', 'annoying']",Obnoxious,Slash_and_Burn,"['Local_Police', 'Thanksgiving_Day', ""Schindler's_List"", 'Slash_and_Burn', 'Cloned_Sheep', 'Strip_Malls', 'Antarctica']",Schindler's_List,Local_Police,Thanksgiving_Day
Freedom,Mushrooms,Power_Rangers,"['unaware', 'oblivious', 'ignorant']",Clueless,Camping_Trip,"['Skateboards', 'Ramona', 'Sports_Channels', 'Camping_Trip', 'Power_Rangers', 'Mushrooms', 'Freedom']",Sports_Channels,Skateboards,Ramona
Salt_'N_Pepa,Garrison_Keillor,Italy,"['exceptional', 'superlative', 'radical']",Extreme,Mahatma_Gandhi,"['Festering_Wounds', 'Washer_and_Dryer', 'Swiss_Chocolate', 'Mahatma_Gandhi', 'Italy', 'Garrison_Keillor', ""Salt_'N_Pepa""]",Swiss_Chocolate,Festering_Wounds,Washer_and_Dryer
Hammer_and_Nails,Getting_Stitches,Fly_Fishing,"['cheerful', 'active']",Lively,Ice_Skating,"['Radios', 'The_NRA', 'East_Coast', 'Ice_Skating', 'Fly_Fishing', 'Getting_Stitches', 'Hammer_and_Nails']",East_Coast,Radios,The_NRA
Flashlights,Circus_Peanuts,Science_Tests,"['wide', 'solid']",Thick,Bankruptcy,"['Sunken_Ships', ""At_My_Parent's_House"", 'Dirt', 'Bankruptcy', 'Science_Tests', 'Circus_Peanuts', 'Flashlights']",Dirt,Sunken_Ships,At_My_Parent's_House
Ham_Sandwhich,Black_Lingerie,Judge_Judy,"['pretty', 'lovely']",Beautiful,Hills_and_Valleys,"['Atlantis', 'Rappers', 'Muddy_Feet', 'Hills_and_Valleys', 'Judge_Judy', 'Black_Lingerie', 'Ham_Sandwhich']",Muddy_Feet,Atlantis,Rappers
A_Bad_Haircut,Jerry_Springer,Pacific_Ocean,"['fascinating', 'exciting']",Interesting,Swans,"['Airline_Food', 'The_Earth', 'Trains', 'Swans', 'Pacific_Ocean', 'Jerry_Springer', 'A_Bad_Haircut']",Trains,Airline_Food,The_Earth
Sin_and_Redemption,Working_Out,Truck_Stops,"['vain', 'smug', 'self-centered']",Conceited,Ice_Cream,"['Frisbees', 'Fort_Knox', 'Horses', 'Ice_Cream', 'Truck_Stops', 'Working_Out', 'Sin_and_Redemption']",Horses,Frisbees,Fort_Knox
Flying_Monkeys,The_Supreme_Court,Rednecks,"['not', 'bald', 'furry']",Hairy,Jenna_and_Barbara,"['The_Vietnam_Memorial', 'Chopsticks', 'Golf-Ball-Sized_Hail', 'Jenna_and_Barbara', 'Rednecks', 'The_Supreme_Court', 'Flying_Monkeys']",Golf-Ball-Sized_Hail,The_Vietnam_Memorial,Chopsticks
Cherries,Dark_Alleys,Playing_Chess,"['magnificent', 'delightful', 'splendid']",Glorious,Bankruptcy,"['Shania_Twain', 'Bugs', 'Feminists', 'Bankruptcy', 'Playing_Chess', 'Dark_Alleys', 'Cherries']",Feminists,Shania_Twain,Bugs
New_Shoes,Hang_Gliding,Timothy_McVey,"['sloppy', 'disorderly', 'unclean']",Messy,Folk_Music,"['Skin_and_Bones', 'Jupiter', 'Haunted_House', 'Folk_Music', 'Timothy_McVey', 'Hang_Gliding', 'New_Shoes']",Haunted_House,Skin_and_Bones,Jupiter
Maximum_Security_Prison,Slash_and_Burn,Crash_and_Burn,"['preposterous', 'absurd', 'ludicrous']",Ridiculous,Anthrax,"['Stretch_Limos', 'A_Cookbook', 'Electricity', 'Anthrax', 'Crash_and_Burn', 'Slash_and_Burn', 'Maximum_Security_Prison']",Electricity,Stretch_Limos,A_Cookbook
The_Mounties,Custer's_Last_Stand,Scene_Of_The_Crime,"['loving', 'tender', 'huggable']",Cuddly,Flannel_Shirts,"['Clint_Eastwood', 'Black_Lingerie', 'Beavis_and_Butt-Head', 'Flannel_Shirts', 'Scene_Of_The_Crime', ""Custer's_Last_Stand"", 'The_Mounties']",Beavis_and_Butt-Head,Clint_Eastwood,Black_Lingerie
Exterminators,My_Bathroom,A_Few_Good_Men,"['chilly', 'hip', 'cold-blooded']",Cool,VW_Beetles,"['A_Piano', 'Lizards', 'Teachers', 'VW_Beetles', 'A_Few_Good_Men', 'My_Bathroom', 'Exterminators']",Teachers,A_Piano,Lizards
Tattoo_Parlors,Marilyn_Monroe,A_Movie_Theater,"['cautious', 'thoughtful']",Careful,Lucille_Ball,"['Hollywood', 'Terrorist_Attack', 'Ronald_McDonald', 'Lucille_Ball', 'A_Movie_Theater', 'Marilyn_Monroe', 'Tattoo_Parlors']",Ronald_McDonald,Hollywood,Terrorist_Attack
A_Submarine,Garbage_Cans,Cherries,"['annoying', 'troublesome', 'provoking']",Irritating,Local_Police,"['Fortune_Teller', 'Corned_Beef_and_Cabbage', 'Parachutes', 'Local_Police', 'Cherries', 'Garbage_Cans', 'A_Submarine']",Parachutes,Fortune_Teller,Corned_Beef_and_Cabbage
Milking_A_Cow,Bonnie_and_Clyde,George_Washington,"['usual', 'common', 'ordinary']",Normal,Antarctica,"['Foot_and_Mouth', 'The_Pentagon', 'Johnny_Depp', 'Antarctica', 'George_Washington', 'Bonnie_and_Clyde', 'Milking_A_Cow']",Johnny_Depp,Foot_and_Mouth,The_Pentagon
The_Mississippi_River,Hollywood_and_Vine,Spilled_Milk,"['lumpy', 'bouncy']",Bumpy,Earthquakes,"['Speeding_Tickets', 'Construction_Workers', 'Nicholas_Cage', 'Earthquakes', 'Spilled_Milk', 'Hollywood_and_Vine', 'The_Mississippi_River']",Nicholas_Cage,Speeding_Tickets,Construction_Workers
Pounding_Nails,Girls,Fur,"['untamed', 'savage', 'ferocious']",Wild,Ball_and_Chain,"['Africa', ""Charlotte's_Web"", 'Mickey_Mouse', 'Ball_and_Chain', 'Fur', 'Girls', 'Pounding_Nails']",Mickey_Mouse,Africa,Charlotte's_Web
Rain,Midlife_Crisis,Bugs,"['lumpy', 'bouncy']",Bumpy,Sand,"['Collection_Shells', 'Worms', 'Stamp_Collecting', 'Sand', 'Bugs', 'Midlife_Crisis', 'Rain']",Stamp_Collecting,Collection_Shells,Worms
Whoopie_Goldberg,Ordinary_People,Meat_Markets,"['famous', 'distinctive', 'prominent']",Legendary,Captain_Kirk,"['Mail_Carrier', 'Black_Velvet', 'Zebras', 'Captain_Kirk', 'Meat_Markets', 'Ordinary_People', 'Whoopie_Goldberg']",Zebras,Mail_Carrier,Black_Velvet
Japanese,Oprah_Winfrey,State_Fair,"['seductive', 'enticing', 'alluring']",Tempting,My_Love_Life,"['Puppets', 'Forever_and_Ever', 'The_Super_Bowl', 'My_Love_Life', 'State_Fair', 'Oprah_Winfrey', 'Japanese']",The_Super_Bowl,Puppets,Forever_and_Ever
A_Crawl_Space,Fortune_Cookies,Lance_Armstrong,"['complicated', 'hard']",Difficult,Mountain_Bikes,"['Mickey_and_Minnie', 'Hiding_Places', 'Ancient_Rome', 'Mountain_Bikes', 'Lance_Armstrong', 'Fortune_Cookies', 'A_Crawl_Space']",Ancient_Rome,Mickey_and_Minnie,Hiding_Places
Heart_and_Soul,Snakes,My_Dreams,"['extreme', 'passionate', 'strained']",Intense,A_Few_Good_Men,"['Katherine_Hepburn', 'Peanuts', 'Actresses', 'A_Few_Good_Men', 'My_Dreams', 'Snakes', 'Heart_and_Soul']",Actresses,Katherine_Hepburn,Peanuts
Waterparks,Alien_Abductions,Getting_Stitches,"['classic', 'ageless', 'well-established']",Timeless,The_New_York_Yankees,"['Fast_Food', 'Hiccups', 'Caviar', 'The_New_York_Yankees', 'Getting_Stitches', 'Alien_Abductions', 'Waterparks']",Caviar,Fast_Food,Hiccups
Broadway,Bubble_Gum,Leather,"['offensive', 'abominable', 'disgusting']",Horrifying,Las_Vegas,"['Manhattan', 'Glaciers', 'Eddie_Murphy', 'Las_Vegas', 'Leather', 'Bubble_Gum', 'Broadway']",Eddie_Murphy,Manhattan,Glaciers
Napoleon_Bonaparte,Peanuts,Getting_The_Flu,"['bumpy', 'clumpy']",Lumpy,The_Judge,"['An_Igloo', 'Jonah_and_The_Whale', 'Fireworks', 'The_Judge', 'Getting_The_Flu', 'Peanuts', 'Napoleon_Bonaparte']",Fireworks,An_Igloo,Jonah_and_The_Whale
Witch_Hunts,Bert_and_Ernie,R_and_B,"['amusing', 'comic', 'odd']",Funny,Dump_Trucks,"['A_Cheap_Motel', 'Alan_Greenspan', 'Potato_Chips', 'Dump_Trucks', 'R_and_B', 'Bert_and_Ernie', 'Witch_Hunts']",Potato_Chips,A_Cheap_Motel,Alan_Greenspan
Body_Odor,HMOs,Swimming,"['exciting', 'sensational', 'theatrical']",Dramatic,Tree_Huggers,"['My_Love_Life', 'Money', 'Barney', 'Tree_Huggers', 'Swimming', 'HMOs', 'Body_Odor']",Barney,My_Love_Life,Money
Running_A_Marathon,Hollywood,James_Dean,"['restful', 'calming', 'peaceful']",Relaxing,Oprah_Winfrey,"['The_Metric_System', 'Body_Odor', 'NASA', 'Oprah_Winfrey', 'James_Dean', 'Hollywood', 'Running_A_Marathon']",NASA,The_Metric_System,Body_Odor
Getting_Stitches,A_Prince,Cold_Pizza,"['psychotic', 'deranged', 'mad']",Insane,My_Future,"['Lions_and_Tigers', 'Monsters', 'Peanut_Butter_and_Jelly', 'My_Future', 'Cold_Pizza', 'A_Prince', 'Getting_Stitches']",Peanut_Butter_and_Jelly,Lions_and_Tigers,Monsters
The_Mafia,Clowns,Will_Smith,"['bursting', 'blasting', 'dangerous']",Explosive,Wheat,"['The_Far_Left', 'Ebony_and_Ivory', 'Stephen_King', 'Wheat', 'Will_Smith', 'Clowns', 'The_Mafia']",Stephen_King,The_Far_Left,Ebony_and_Ivory
Charles_and_Diana,Food_Poisoning,Magic_Tricks,"['strained', 'tense', 'nervous']",Wired,Thunder_and_Lightning,"['Collection_Shells', 'Gravity', 'AM_and_FM', 'Thunder_and_Lightning', 'Magic_Tricks', 'Food_Poisoning', 'Charles_and_Diana']",AM_and_FM,Collection_Shells,Gravity
My_Dad,Arm_and_A_Leg,Dragons,"['gigantic', 'immense', 'important']",Huge,Bonbons,"['Cinco_de_Mayo', 'Weddings', 'Milwaukee', 'Bonbons', 'Dragons', 'Arm_and_A_Leg', 'My_Dad']",Milwaukee,Cinco_de_Mayo,Weddings
Bumper_Cars,Arsenic_and_Old_Lace,Lizards,"['limitless', 'planetary', 'far', 'out']",Cosmic,Fire,"['Going_To_The_Dentist', 'Road_Rage', 'Tyrannosaurus_Rex', 'Fire', 'Lizards', 'Arsenic_and_Old_Lace', 'Bumper_Cars']",Tyrannosaurus_Rex,Going_To_The_Dentist,Road_Rage
Motorcycles,Beanbag_Chairs,High_Heels,"['imaginative', 'artistic', 'original']",Creative,On_The_Roof,"['Carpenters', 'Assault_and_Battery', 'Barbara_Walters', 'On_The_Roof', 'High_Heels', 'Beanbag_Chairs', 'Motorcycles']",Barbara_Walters,Carpenters,Assault_and_Battery
A_Ringing_In_My_Ears,Getting_A_Hug,Haiku,"['prehistoric', 'primal', 'uncivilized']",Primitive,Fur,"['Buzz_Lightyear', 'Lollipops', 'Japan', 'Fur', 'Haiku', 'Getting_A_Hug', 'A_Ringing_In_My_Ears']",Japan,Buzz_Lightyear,Lollipops
Mittens,Going_To_A_Movie,The_New_York_Yankees,"['methodical', 'formal', 'systematic']",Orderly,A_Funeral,"['John_Glenn', 'A_Saw', 'Fast_Food', 'A_Funeral', 'The_New_York_Yankees', 'Going_To_A_Movie', 'Mittens']",Fast_Food,John_Glenn,A_Saw
Antarctica,Princess_Di,Leeches,"['pitiful', 'distressing', 'heart-rending']",Pathetic,A_Dozen_Red_Roses,"['Barbie_and_Ken', 'Going_On_A_Safari', 'Cactus', 'A_Dozen_Red_Roses', 'Leeches', 'Princess_Di', 'Antarctica']",Cactus,Barbie_and_Ken,Going_On_A_Safari
Las_Vegas,Waxing_The_Floor,Salvador_Dali,"['new', 'original', 'good']",Fresh,A_Bakery,"['George_W._Bush', 'Knock-Knock_Jokes', 'Horse_and_Cart', 'A_Bakery', 'Salvador_Dali', 'Waxing_The_Floor', 'Las_Vegas']",Horse_and_Cart,George_W._Bush,Knock-Knock_Jokes
Giving_A_Hug,Oil_Spills,Chips_and_Dip,"['timeless', 'definitive', 'vintage']",Classic,Fort_Knox,"[""Custer's_Last_Stand"", 'Babies', 'Llamas', 'Fort_Knox', 'Chips_and_Dip', 'Oil_Spills', 'Giving_A_Hug']",Llamas,Custer's_Last_Stand,Babies
Eyes,My_Teacher,Musicals,"['small', 'tiny']",Little,Stop_Signs,"['Mad_Cow_Disease', 'Catherine_Zeta-Jones', 'Abbot_and_Costello', 'Stop_Signs', 'Musicals', 'My_Teacher', 'Eyes']",Abbot_and_Costello,Mad_Cow_Disease,Catherine_Zeta-Jones
Truck_Stops,The_Electric_Chair,Winning_The_Lottery,"['quiet', 'still']",Silent,Water_Guns,"['The_Moon', 'Viagra', 'Camping', 'Water_Guns', 'Winning_The_Lottery', 'The_Electric_Chair', 'Truck_Stops']",Camping,The_Moon,Viagra
Volcanoes,Talk_Radio,"Vietnam,_1968","['sugary', 'caring', 'good']",Sweet,Turkey_and_Stuffing,"['Adam_and_Eve', 'Jennifer_Lopez', 'Root_Beer', 'Turkey_and_Stuffing', 'Vietnam,_1968', 'Talk_Radio', 'Volcanoes']",Root_Beer,Adam_and_Eve,Jennifer_Lopez
Candy,A_Nine_Iron,Bonnie_and_Clyde,"['powerful', 'prominent', 'important']",Influential,Gymnastics,"['Giraffes', 'Heart_and_Soul', 'Snow', 'Gymnastics', 'Bonnie_and_Clyde', 'A_Nine_Iron', 'Candy']",Snow,Giraffes,Heart_and_Soul
Circus_Peanuts,Dr._Laura,Finger_Painting,"['strong', 'forceful', 'robust']",Powerful,Thunder,"['The_Pyramids', 'Space_and_Time', 'The_Electric_Chair', 'Thunder', 'Finger_Painting', 'Dr._Laura', 'Circus_Peanuts']",The_Electric_Chair,The_Pyramids,Space_and_Time
